"Participant_ID","Trial_ID","Timestamp_ms","Interval_ms","Action","Input_Method","Slot_ID","Key_Is_Special","Slot_ID_num","Pressed_Key","Expected_Key","Status","Chars_On_Screen","Cumulative_Errors","Browser","System","Is_Mobile","Window_Width_mm","Window_Height_mm","Button_Width_mm","Button_Height_mm","UA"
"r_iEmWwjfB",9,49071,928,"KeyPress","touch","middle-right","NO",1.0,"6","6","Correct",13,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",9,49607,536,"KeyPress","touch","bottom-left","NO",2.0,"1","1","Correct",14,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",9,49747,140,"KeyPress","touch","bottom-left","NO",2.0,"1","1","Correct",15,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",10,50723,976,"KeyPress","touch","middle-left","NO",2.23606797749979,"#008000","#008000","Correct",11,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",10,51402,679,"KeyPress","touch","top-center","NO",2.23606797749979,"#000000","#000000","Correct",12,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",10,52028,626,"KeyPress","touch","middle-center","NO",1.4142135623730951,"#00FFFF","#00FFFF","Correct",13,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",10,53704,1676,"KeyPress","touch","top-left","NO",2.8284271247461903,"#800080","#800080","Correct",14,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",10,54313,609,"KeyPress","touch","bottom-right","NO",0.0,"#FFFF00","#FFFF00","Correct",15,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",11,56406,2091,"KeyPress","touch","bottom-center","NO",1.0,"6","6","Correct",11,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",11,57491,1085,"KeyPress","touch","bottom-right","NO",0.0,"2","2","Correct",12,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",11,58643,1152,"KeyPress","touch","middle-left","NO",2.23606797749979,"8","8","Correct",13,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",11,59786,1143,"KeyPress","touch","bottom-left","NO",2.0,"3","3","Correct",14,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",11,59916,130,"KeyPress","touch","bottom-left","NO",2.0,"3","3","Correct",15,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",12,60983,1067,"KeyPress","touch","middle-left","NO",2.23606797749979,"#FFA500","#FFA500","Correct",11,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",12,61136,153,"KeyPress","touch","middle-left","NO",2.23606797749979,"#FFA500","#FFA500","Correct",12,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",12,62257,1121,"KeyPress","touch","top-left","NO",2.8284271247461903,"#008000","#008000","Correct",13,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",12,62896,639,"KeyPress","touch","bottom-right","NO",0.0,"#00FFFF","#00FFFF","Correct",14,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",12,63717,821,"KeyPress","touch","middle-right","NO",1.0,"#FFFFFF","#FFFFFF","Correct",15,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",13,65168,1451,"KeyPress","touch","middle-right","NO",1.0,"6","6","Correct",11,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",13,65872,704,"KeyPress","touch","top-left","NO",2.8284271247461903,"1","1","Correct",12,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",13,66490,618,"KeyPress","touch","middle-left","NO",2.23606797749979,"4","4","Correct",13,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",13,67154,664,"KeyPress","touch","top-left","NO",2.8284271247461903,"1","1","Correct",14,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",13,67751,597,"KeyPress","touch","bottom-left","NO",2.0,"7","7","Correct",15,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",14,69712,1961,"KeyPress","touch","top-center","NO",2.23606797749979,"B","B","Correct",11,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",14,70709,997,"KeyPress","touch","middle-right","NO",1.0,"F","F","Correct",12,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",14,71905,1196,"KeyPress","touch","bottom-center","NO",1.0,"H","H","Correct",13,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",14,72610,705,"KeyPress","touch","top-right","NO",2.0,"C","C","Correct",14,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",14,74113,1503,"KeyPress","touch","middle-right","NO",1.0,"F","F","Correct",15,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",15,75407,1294,"KeyPress","touch","bottom-right","NO",0.0,"3","3","Correct",11,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",15,75531,124,"KeyPress","touch","bottom-right","NO",0.0,"3","3","Correct",12,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",15,76450,919,"KeyPress","touch","top-left","NO",2.8284271247461903,"7","7","Correct",13,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",15,77061,611,"KeyPress","touch","middle-right","NO",1.0,"6","6","Correct",14,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",15,77339,278,"KeyPress","touch","top-right","NO",2.0,"9","9","Correct",15,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",16,78261,921,"KeyPress","touch","middle-right","NO",1.0,"#0000FF","#0000FF","Correct",11,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",16,79014,753,"KeyPress","touch","top-left","NO",2.8284271247461903,"#800080","#800080","Correct",12,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",16,79733,719,"KeyPress","touch","top-center","NO",2.23606797749979,"#000000","#000000","Correct",13,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
